% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.128259773e+05 +5.128259773e+05 +5.129022473e+05 +5.129022473e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1184 +3.829711096e+05 +3.829711096e+05 +3.830473796e+05 +3.830473796e+05 -1.9564e+00 -2.0229e+00 -1.0140e+00 +1.7901e+00 -2.6539e+00 +4.6485e+00 +4.8813e+00 +1.9761e+00 +2.6157e+00 -1.8284e+00 -3.2875e+00 -4.2983e+00 -3.4520e+00 +6.3497e+00 +2.3892e+00 +3.4474e+00 +4.1998e+00 -6.0240e-01 -2.9883e+00 +4.0960e+00
1229 +1.777781970e+05 +1.777781970e+05 +1.778544670e+05 +1.778544670e+05 -1.9624e+00 -1.9511e+00 -1.0140e+00 +1.7908e+00 -2.9353e+00 +4.5802e+00 +4.8944e+00 +1.9843e+00 +2.7089e+00 -1.8969e+00 -3.1462e+00 -4.2213e+00 -3.5032e+00 +9.8546e+00 +2.3891e+00 +3.4593e+00 +4.1277e+00 -1.6645e-01 -3.0380e+00 +4.1503e+00
1256 +1.514439683e+05 +1.514439683e+05 +1.515202383e+05 +1.515202383e+05 -1.9555e+00 -1.8983e+00 -1.0515e+00 +1.7905e+00 -2.9795e+00 +4.5059e+00 +4.8664e+00 +1.9429e+00 +3.0958e+00 -2.2225e+00 -3.2120e+00 -4.3502e+00 -3.5869e+00 +7.3072e+00 +2.3896e+00 +3.5366e+00 +4.4413e+00 -6.3050e-01 -2.9707e+00 +3.8097e+00
1304 +9.766409520e+04 +9.766409520e+04 +9.774036520e+04 +9.774036520e+04 -1.9562e+00 -1.8359e+00 -1.1133e+00 +1.7952e+00 -3.7614e+00 +4.6832e+00 +4.9081e+00 +1.9749e+00 +2.2316e+00 -2.8701e+00 -2.8103e+00 -4.0547e+00 -3.3985e+00 +7.3480e+00 +2.3934e+00 +3.7180e+00 +4.2723e+00 -1.4522e-01 -3.0142e+00 +3.6572e+00
1308 +7.881013133e+04 +7.881013133e+04 +7.888640133e+04 +7.888640133e+04 -1.9717e+00 -1.8357e+00 -1.1267e+00 +1.7941e+00 -2.4795e+00 +3.4448e+00 +4.9082e+00 +2.1253e+00 +1.4468e+00 -2.6289e+00 -3.1987e+00 -3.9285e+00 -3.5236e+00 +8.7633e+00 +2.3901e+00 +3.7023e+00 +4.0746e+00 -2.1760e-01 -3.0223e+00 +2.9516e+00
1322 +1.251423871e+03 +1.251423871e+03 +1.327693871e+03 +1.327693871e+03 -1.9515e+00 -2.4387e+00 -1.0579e+00 +1.7947e+00 -2.5547e+00 +4.5932e+00 +4.9269e+00 +2.0098e+00 +2.3318e+00 -1.9965e+00 -1.5799e+00 -4.0282e+00 -3.2415e+00 +5.7975e+00 +2.3903e+00 +3.7310e+00 +4.4801e+00 -7.9884e-01 -2.9603e+00 +6.3417e+00
1340 +7.743177226e+02 +7.743177226e+02 +8.505877226e+02 +8.505877226e+02 -1.9539e+00 -1.6163e+00 -9.7335e-01 +1.7899e+00 -2.6698e+00 +4.7596e+00 +4.8718e+00 +2.0805e+00 +2.6394e+00 -1.3813e+00 -3.0613e+00 -3.8986e+00 -3.6772e+00 +8.4638e+00 +2.3877e+00 +3.6591e+00 +4.2200e+00 +2.5101e-01 -2.8511e+00 +4.2686e+00
1363 +3.324589084e+02 +3.324589084e+02 +4.087289084e+02 +4.087289084e+02 -1.9594e+00 -2.3660e+00 -1.0318e+00 +1.7885e+00 -3.2705e+00 +4.2195e+00 +4.8274e+00 +1.9873e+00 +2.7166e+00 -2.0055e+00 -2.5871e+00 -4.3192e+00 -3.2127e+00 +7.7956e+00 +2.3898e+00 +3.8332e+00 +4.3611e+00 -4.5242e-01 -2.8326e+00 +3.9892e+00
1489 +3.012977293e+02 +3.012977293e+02 +3.775677293e+02 +3.775677293e+02 -1.9698e+00 -1.9835e+00 -1.0533e+00 +1.7860e+00 -2.0789e+00 +4.2368e+00 +4.8112e+00 +1.9434e+00 +2.5602e+00 -2.5465e+00 -2.6644e+00 -3.8424e+00 -3.2575e+00 +7.3516e+00 +2.3875e+00 +3.7476e+00 +4.3434e+00 -1.6889e+00 -2.8658e+00 +3.4762e+00
