% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1902 +1.791303393e+04 +1.791303393e+04 +1.736653393e+04 +1.736653393e+04 +5.1308e+00 -5.1599e-01 -2.0533e+00 +1.3946e+00 +1.3308e+00 -3.4068e+00 +1.3943e+00 +2.7063e+00 -1.6872e+00 -6.7156e-01 +1.3905e+00 +3.2179e+00 +1.4113e-01 -3.9593e+00 +3.7563e+00 -2.2071e+00 +2.2498e-01 -3.4958e+00 -8.5051e-01 +1.9220e+00
1985 +1.519462959e+04 +1.519462959e+04 +1.464812959e+04 +1.464812959e+04 +4.9546e+00 +8.2713e-01 -1.1202e+00 +1.2912e+00 +8.8054e-01 -3.5395e+00 +1.8251e+00 +2.3603e+00 -1.7596e+00 -1.3575e+00 +2.7918e-01 +3.0085e+00 -4.8309e-01 -4.0070e+00 +3.7408e+00 -1.0981e+00 +1.7639e-01 -2.1731e+00 -7.0639e-01 +1.8944e+00
2061 +1.413340723e+04 +1.413340723e+04 +1.358690723e+04 +1.358690723e+04 +4.5355e+00 +1.9659e+00 -4.5907e-01 +1.0931e+00 +5.5059e-01 -3.5736e+00 -2.8757e+00 +2.3033e+00 -1.0293e-01 +1.6400e-01 -8.8316e-01 +3.5146e+00 -2.7093e-01 -3.6862e+00 +3.7304e+00 -1.3289e+00 +5.7335e-01 -3.1028e+00 -2.3125e+00 +1.7606e+00
2208 +1.404773440e+04 +1.404773440e+04 +1.350123440e+04 +1.350123440e+04 +5.1624e+00 -6.2130e-01 -3.4229e-01 +7.7352e-01 +3.8652e-01 -3.4772e+00 +1.8016e+00 +2.3051e+00 -1.5244e+00 -1.0528e+00 +6.4959e-01 +3.2441e+00 +2.5406e-02 -3.5546e+00 +3.8861e+00 -1.0990e+00 +6.4268e-01 -1.6751e+00 -4.2871e-01 +2.0558e+00
2268 +1.330862899e+04 +1.330862899e+04 +1.276212899e+04 +1.276212899e+04 +3.9816e+00 +1.8444e+00 +5.9706e-01 +1.1284e+00 +4.6187e-01 -3.2981e+00 -3.9973e-01 +6.4787e-01 -1.3226e+00 -8.7625e-01 +6.1349e-01 +3.3657e+00 +1.1374e-01 -3.9454e+00 +3.7370e+00 -8.2400e-01 +2.6532e-01 -2.8309e+00 -3.0003e-01 +1.3795e+00
2269 +1.237653682e+04 +1.237653682e+04 +1.183003682e+04 +1.183003682e+04 +3.3213e+00 -2.6457e-02 +4.8317e-01 +1.4600e+00 +6.5268e-01 -3.3282e+00 +1.3101e+00 +2.6503e+00 -1.6019e+00 -6.5121e-01 +1.3365e-01 +3.5805e+00 -7.5874e-02 -4.0191e+00 +3.6949e+00 -1.6594e+00 +8.0934e-01 -2.8478e+00 -1.2123e+00 +1.8779e+00
2303 +1.115885651e+04 +1.115885651e+04 +1.061235651e+04 +1.061235651e+04 +2.7391e+00 +2.9617e-01 +1.6451e+00 +1.5401e+00 +1.1218e-01 -3.5091e+00 +8.2319e-01 +1.1849e+00 -1.0032e+00 +8.9428e-02 +3.7357e-01 +2.7287e+00 +7.3648e-01 -3.9005e+00 +3.7001e+00 -1.4866e+00 +3.8212e-01 -2.5472e+00 -7.4493e-01 +1.7675e+00
2408 +1.095024450e+04 +1.095024450e+04 +1.040374450e+04 +1.040374450e+04 +1.5897e+00 +1.7418e+00 -5.8858e-01 -1.0651e+00 +7.3830e-01 -3.8108e+00 +6.2986e-01 +2.6098e+00 -3.6503e+00 -1.2795e+00 +5.1087e-01 +2.0555e+00 -3.3155e-01 -3.9748e+00 +3.3656e+00 -1.0947e+00 +3.6157e-01 -1.9534e+00 -5.9738e-01 +1.9281e+00
2446 +9.933738780e+03 +9.933738780e+03 +9.387238780e+03 +9.387238780e+03 +2.4245e+00 -4.4748e-02 +2.4774e+00 +1.2091e+00 +8.1275e-01 -3.6918e+00 +1.0173e+00 +2.3274e+00 -1.4892e-01 -5.6137e-01 +2.7278e-01 +3.0859e+00 -5.5159e-01 -3.9604e+00 +3.5704e+00 -1.1360e+00 +1.0345e+00 -1.6284e+00 -1.7984e+00 +1.5105e+00
2542 +8.183311316e+03 +8.183311316e+03 +7.636811316e+03 +7.636811316e+03 +1.4905e+00 +1.4274e-01 +5.3006e-01 +1.2686e+00 +2.6257e-01 -2.4636e+00 -1.0284e-01 +1.9144e+00 -1.3950e+00 -9.3344e-01 +1.7314e+00 +2.3723e+00 -4.8945e-01 -4.0063e+00 +3.3694e+00 -1.1131e+00 +4.6345e-01 -2.3458e+00 -1.2893e+00 +2.0130e+00
2816 +7.419704287e+03 +7.419704287e+03 +6.873204287e+03 +6.873204287e+03 +3.4923e-01 +2.0584e+00 +1.4742e+00 +7.2215e-01 -1.9804e-01 -2.7654e+00 -6.5222e-01 +2.7192e+00 -1.5326e+00 +1.6430e-01 +6.0508e-01 +1.7386e+00 -2.9560e-01 -3.9132e+00 +3.3728e+00 -1.2838e+00 +8.0257e-01 -2.3109e+00 -1.2558e+00 +1.9484e+00
2817 +5.729727987e+03 +5.729727987e+03 +5.183227987e+03 +5.183227987e+03 +2.3542e+00 -7.4497e-03 +1.8304e+00 +6.0011e-01 +2.2675e+00 -3.8490e+00 -1.8734e-01 +2.3511e+00 -1.3558e+00 +1.7732e-01 +6.2601e-01 +1.7624e+00 -7.9877e-01 -3.8018e+00 +2.7782e+00 -9.1928e-01 +9.5625e-01 -1.9182e+00 -7.2269e-01 +1.3283e+00
2927 +4.551924248e+03 +4.551924248e+03 +4.005424248e+03 +4.005424248e+03 +1.0735e+00 +1.1152e+00 +2.6909e+00 +1.7486e+00 -1.0675e-01 -3.1807e+00 +4.2406e-01 +3.1837e+00 -7.8967e-01 +4.4369e-02 +2.1972e+00 +1.5209e+00 -4.1946e-01 -3.6559e+00 +3.0735e+00 -6.5710e-01 +1.3607e+00 -2.2153e+00 -1.3697e+00 +1.3100e+00
